workplace_county,residence_county,workers_from_residence_county,percent_residing
Los Angeles County,LA Metro,3713534,84.07
Los Angeles County,Inland Empire,326142,7.38
Los Angeles County,Other Counties,260496,5.90
Los Angeles County,Ventura County,117257,2.65
Orange County,LA Metro,1240334,78.34
Orange County,Inland Empire,198028,12.51
Orange County,Other Counties,129908,8.20
Orange County,Ventura County,15066,0.95
Riverside County,Inland Empire,543624,76.23
Riverside County,LA Metro,108661,15.24
Riverside County,Other Counties,56632,7.94
Riverside County,Ventura County,4257,0.60
San Bernardino County,Inland Empire,541521,72.60
San Bernardino County,LA Metro,154373,20.70
San Bernardino County,Other Counties,44419,5.96
San Bernardino County,Ventura County,5599,0.75
Ventura County,Ventura County,192941,65.23
Ventura County,LA Metro,63743,21.55
Ventura County,Other Counties,29507,9.98
Ventura County,Inland Empire,9589,3.24
