"workplace_county","residence_county","workers_from_residence_county","percent_residing"
"Los Angeles County","Los Angeles County","3401665","77.0055"
"Los Angeles County","Orange County","311869","7.0600"
"Los Angeles County","Other Counties","260496","5.8970"
"Los Angeles County","San Bernardino County","203201","4.6000"
"Los Angeles County","Riverside County","122941","2.7831"
"Los Angeles County","Ventura County","117257","2.6544"
"Orange County","Orange County","911212","57.5501"
"Orange County","Los Angeles County","329122","20.7866"
"Orange County","Other Counties","129908","8.2047"
"Orange County","Riverside County","116821","7.3782"
"Orange County","San Bernardino County","81207","5.1289"
"Orange County","Ventura County","15066","0.9515"
"Riverside County","Riverside County","442055","61.9842"
"Riverside County","San Bernardino County","101569","14.2418"
"Riverside County","Los Angeles County","65641","9.2041"
"Riverside County","Other Counties","56632","7.9408"
"Riverside County","Orange County","43020","6.0322"
"Riverside County","Ventura County","4257","0.5969"
"San Bernardino County","San Bernardino County","406817","54.5395"
"San Bernardino County","Riverside County","134704","18.0590"
"San Bernardino County","Los Angeles County","113948","15.2763"
"San Bernardino County","Other Counties","44419","5.9550"
"San Bernardino County","Orange County","40425","5.4195"
"San Bernardino County","Ventura County","5599","0.7506"
"Ventura County","Ventura County","192941","65.2313"
"Ventura County","Los Angeles County","56310","19.0378"
"Ventura County","Other Counties","29507","9.9760"
"Ventura County","Orange County","7433","2.5130"
"Ventura County","San Bernardino County","4885","1.6516"
"Ventura County","Riverside County","4704","1.5904"
