"residence_county","workplace_county","workers_in_workplace_county","percent_working"
"Los Angeles County","Los Angeles County","3401665","81.5548"
"Los Angeles County","Orange County","329122","7.8907"
"Los Angeles County","Other Counties","204331","4.8988"
"Los Angeles County","San Bernardino County","113948","2.7319"
"Los Angeles County","Riverside County","65641","1.5737"
"Los Angeles County","Ventura County","56310","1.3500"
"Orange County","Orange County","911212","64.9379"
"Orange County","Los Angeles County","311869","22.2255"
"Orange County","Other Counties","89246","6.3602"
"Orange County","Riverside County","43020","3.0658"
"Orange County","San Bernardino County","40425","2.8809"
"Orange County","Ventura County","7433","0.5297"
"Riverside County","Riverside County","442055","47.9623"
"Riverside County","San Bernardino County","134704","14.6152"
"Riverside County","Los Angeles County","122941","13.3389"
"Riverside County","Orange County","116821","12.6749"
"Riverside County","Other Counties","100446","10.8982"
"Riverside County","Ventura County","4704","0.5104"
"San Bernardino County","San Bernardino County","406817","47.7590"
"San Bernardino County","Los Angeles County","203201","23.8551"
"San Bernardino County","Riverside County","101569","11.9239"
"San Bernardino County","Orange County","81207","9.5334"
"San Bernardino County","Other Counties","54134","6.3552"
"San Bernardino County","Ventura County","4885","0.5735"
"Ventura County","Ventura County","192941","51.8266"
"Ventura County","Los Angeles County","117257","31.4968"
"Ventura County","Other Counties","37162","9.9822"
"Ventura County","Orange County","15066","4.0469"
"Ventura County","San Bernardino County","5599","1.5040"
"Ventura County","Riverside County","4257","1.1435"
