"residence_county","workplace_county","total_workers","percent_working"
"Los Angeles County","Los Angeles County","3401665","85.7558"
"Los Angeles County","Orange County","329122","8.2972"
"Los Angeles County","San Bernardino County","113948","2.8726"
"Los Angeles County","Riverside County","65641","1.6548"
"Los Angeles County","Ventura County","56310","1.4196"
"Orange County","Orange County","911212","69.3486"
"Orange County","Los Angeles County","311869","23.7351"
"Orange County","Riverside County","43020","3.2741"
"Orange County","San Bernardino County","40425","3.0766"
"Orange County","Ventura County","7433","0.5657"
"Riverside County","Riverside County","442055","53.8287"
"Riverside County","San Bernardino County","134704","16.4028"
"Riverside County","Los Angeles County","122941","14.9704"
"Riverside County","Orange County","116821","14.2252"
"Riverside County","Ventura County","4704","0.5728"
"San Bernardino County","San Bernardino County","406817","51.0001"
"San Bernardino County","Los Angeles County","203201","25.4740"
"San Bernardino County","Riverside County","101569","12.7331"
"San Bernardino County","Orange County","81207","10.1804"
"San Bernardino County","Ventura County","4885","0.6124"
"Ventura County","Ventura County","192941","57.5737"
"Ventura County","Los Angeles County","117257","34.9896"
"Ventura County","Orange County","15066","4.4957"
"Ventura County","San Bernardino County","5599","1.6707"
"Ventura County","Riverside County","4257","1.2703"
